SRC,TGT,VOT,RES,YEA,DAT,TXT
Basalisk,Zagalejo,1,1,2012,"12:46, 29 June 2012","'''Support'''. Clearly trustworthy; good, thorough answers to questions. Why not?"
Mike 7,Kumioko,-1,-1,2012,"04:01, 11 August 2012",'''Oppose''' per this user's block log and other concerns expressed above.
Wittylama,SarahStierch,1,1,2012,"04:13, 27 July 2012","'''Support'''  I've been working with Sarah in real life and on-wiki for years, having first come across here with the Public Art project. Sarah is one of the Wikimedians I most trust and work with most frequently."
Harry the Dirty Dog,Figureskatingfan,-1,-1,2012,"16:06, 14 February 2012","'''Oppose''' - I agree that there is a tendency to rush to revert without looking. [http://en.wikipedia.org/w/index.php?title=List_of_Muppets&diff=prev&oldid=468440004 Diff 4], for example '''reintroduced''' a spelling error that had been fixed (it's [[self-deprecating]] not [[self-depreciating]]). I'd like to see a little less knee-jerkiness. <font style=""bold italic"" color=""7C0500"">Harry the Dog </font>"
Ktr101,SarahStierch,1,1,2012,"01:47, 22 July 2012","'''Support''' Courcelles says it all. I look forward to her having the tools, and cannot wait to see what good will come out of this."
Jedd Raynier,GabeMc,-1,-1,2012,"02:48, 1 May 2012",'''Very very strong oppose''' per [[User:Yasht101|Yasht101]]. '''''
Slon02,MikeLynch,1,1,2012,"23:52, 19 January 2012","'''Support'''. Looks like a net positive, and I don't have any convincing reason to oppose.--"
Riley Huntley,Mr little irish,1,-1,2012,"15:53, 1 May 2012",'''Support'''
Crispmuncher,MikeLynch,-1,1,2012,"21:50, 21 January 2012","'''Oppose''' primarily because of the canvassing thing.  That is no reflection on the candidate but the RfA process must be fair, transparent and seen to be as such.  If there are any question marks regarding the process or appointment of an admin that is simply ammunition to disaffected parties in contentious disputes where admins really prove there worth.  That undermines the authority of the new admin.  I would rather see this candidate go away and come back in a few months rather than lack the complete confidence of the community."
Townlake,Writ Keeper,-1,1,2012,"01:52, 25 October 2012","Answer to Q6 is wrong -- admins don't get to close consensus discussions based on which policy argument they like best. That's called ""supervoting"" and it's been a problem for some admins in the past. In addition, the mainspace edit activity is not exactly impressive. That said, this looks like it'll pass, and I congratulate you on being the first candidate in two months to pass RFA, but please be careful with the tools when you get started."
DoriSmith,GabeMc,-1,-1,2012,"07:35, 30 April 2012","'''Oppose''' - partly because he fails [[User:DoriSmith/onRFA|my criteria]], and partly because he requested adminship without first making an attempt to learn what adminship ''is''. <span style='font:1.0em ""Apple Garamond"",""Adobe Garamond Pro"",Garamond,serif;color:#369;'>"
Mrmatiko,Ekabhishek,0,1,2012,"09:20, 12 August 2012","'''Neutral''' <small>(again)</small> I find myself back in the neutral section because it is now clear that Ekabhishek will take their time and work very carefully. I still remain concerned by the lack of contribution to discussions, particularly regarding the administrative areas they wish to help out with, and therefore am unable to give my full support. I cannot continue to oppose without assuming that this editor will deliberately abuse the tools (unlikely), because they have stated that they will only work in specific administrative areas and will take advice from others in situations where they aren't sure. I expect those administrators placing themselves in the support section, particularly those who have made statements in other sections of this RFA, to provide significantly more assistance to Ekabhishek than they would to most other successful candidates. --"
Secret,Marcus Qwertyus,-1,-1,2012,"17:43, 18 June 2012","While I'm very lenient and mainly support all non NOTNOW candidates, I can't support because of question 7 which is probably one of the worst answers I've seen to the question. Maybe in another six months with more experience."
Zad68,SwisterTwister,-1,-1,2012,"13:44, 28 June 2012","'''Oppose''' at this time, largely due to 1) lack of significant content development, and 2) DGG's in-depth analysis of the recent weaknesses shown at NPP, which the candidate identified as an area of 'best contributions,' and 3) answers to questions 4, 7 and 12 which should have focused on policy but didn't.  Admins need to have support of content development as their overriding goal, and so need to understand the challenges editors have in working with others and working within Wikipedia policy.  Admins need to know policy very well, and to be excellent, pro-active and even-handed communicators.  I think Swister is a good guy and a net benefit to the project but at this time his edit history hasn't shown what I'm looking for in an Admin.  <code>"
TBrandley,Harrias,1,1,2012,"18:29, 27 November 2012","'''Support''' I've ran into this user at featured list and article nominations, and I must say Harris' main-space article and list contributions are simply excellent. Further, the editor is extremely mature, even in horrible situations, is [[WP:BOLD|bold]] often, and his/her does amazing work at [[WP:DYK|Did you know?]], which is why this user should have the mop. Great work! <font face=""Impact"">"
Bluerasberry,Dpmuk,-1,1,2012,"17:10, 14 February 2012","'''Oppose''' The endorsement from [[user:Moonriddengirl]] means a lot to me and I support your candidacy on her recommendation. I also am personally grateful for the help you have given me in the [[Sexually transmitted disease]] article - thank you so much for your input. However, I overall must oppose your adminship at this time. I feel that admins are public figures and they need to have the ability to explain Wikipedia especially to new users. I recommend filling out your userpage. If you are an admin then people, especially new users having their first contact with Wikipedia, will look to you as a model. Your userpage is almost blank and I feel that this indicates a lack of participation in the Wikipedia community, regardless of whether that is true. Please make a userpage so that if you posted on a new user's talk page informing them about copyright violations as you said you intend to continue doing (and new users are the mostly likely targets), then when they come to your userpage to see who you are they learn more about the lesson you are trying to teach and the work you are doing on Wikipedia.<br/>Because of your limited experience and your heavy editing in one area, I feel that you are not going to be able to give sysop-level input on the majority of issues which arise. Edit count does not matter but it does take some amount of editing to get exposure to community interaction. You have not made 2500 article edits and your most extensive edits have been to bring two articles ([[Engkanto]] from 2008 and [[Carl Jackson (caddie)]] from 2010) from stub class to start class, and very little of what you do actually involves conversations with other users. I do not know what threshold of experience I am expecting from sysops but you have not met it. <br/>It was in October 2011 that you participated in this tiring discussion on [[talk:Contact fuze]]; you did nothing wrong except that I think you could have been a lot more efficient and done more to de-escalate invalid arguments if you had been more experienced. I would love to support you next year after which time surely you will have more experience.  In the meantime please consider devoting time to take a tour of Wikipedia and become familiar with multiple areas of the project. Thank you so much for submitting your RfA. I look forward to continually working with you in the future."
Alzarian16,GiantSnowman,1,1,2012,"00:33, 29 January 2012","'''Support'''. I supported last time and I still do, basically for the reasons CharlieEchoTango gives above. It's also good to see that most of the valid reasons given by the oppose !voters at the last RfA seem to have been addressed."
Bluerasberry,Berean Hunter,1,1,2012,"10:33, 26 July 2012","'''Support''' Berean Hunter is experienced in investigation, is a respected member of the Wikipedia community in good communication with any others, and is an excellent coordinator of the addition of images to articles. I expect this user to be a good admin."
Neotarf,Jenks24,1,1,2012,"23:15, 25 May 2012",'''Support''' Of course.  Add me to the list of those who thought he was one already.
Petrb,GabeMc,1,-1,2012,"11:34, 27 April 2012",'''Support'''
Salvidrim,Calabe1992,1,-1,2012,"22:44, 25 April 2012","'''Support''' - I've been stalking this user's talk page for some while, and I can certainly see his passion about vandalism-fighting. He has also shown that he is competent at doing so. As his earlier experiences with removal & reinstatement of the Rollback privilege demonstrate, this editor is able to take criticism, admit mistakes, and grow from it, which is a surprisingly rare and highly valued quality. <span style=""13px Sylfaen;background-color:#000000;padding:0 3px 0 3px;"">"
Scottywong,Σ,1,-1,2012,"18:57, 2 October 2012",Yup.
Guerillero,Σ,0,-1,2012,"15:25, 5 October 2012","'''Neutral''' per foxj and GW. The fact that he demands, not asks politely, for admin tasks to be done in #wikipedia-en and that I have fears that sig may approach CSD in much of the same way that caused {{User|Fastily}} issues places me here. He has done so much good work that I do not feel right to oppose. --"
Status,Apteva,-1,-1,2012,"17:08, 30 November 2012","'''Oppose''' Same as above. <font face=""Arial"" size=""2em"">"
Atama,Mr. Stradivarius,1,1,2012,"17:09, 31 July 2012","'''Support''' - I admit to a bit of bias here but I always consider experience at MEDCAB to be very useful for prospective admins, as dispute resolution is a core part of what we're asked to do. There's plenty of experience in other admin-related areas as well, and I'm familiar with Mr. Stradivarius from places on the project and happily support his candidacy. -- '''"
JoshuaZ,Bagumba,1,1,2012,"18:42, 21 August 2012",'''support''' Everything seems in order here.
Tryptofish,Dennis Brown,1,1,2012,"23:09, 23 April 2012","'''Support'''. I'm not particularly familiar with the candidate, so I looked rather carefully at the other comments here, including the opposes. I'm very satisfied that the candidate has clue, and is not going to overestimate his own abilities. For me, that's a big part of RfA: a good candidate must not be inclined to abuse the tools. The candidate's responses during the RfA process, along with Elen's support, have satisfied me that I can trust this candidate. --"
Mike 7,Zagalejo,1,1,2012,"04:45, 26 June 2012",'''Support''' Seems trustworthy and capable of helping and enhancing the project in unique ways.
Daniel Case,SarahStierch,1,1,2012,"13:39, 27 July 2012",'''VERY STRONG SUPPORT''' From both on-wiki and personal experience ... what are we ''waiting'' for?
EatsShootsAndLeaves,Kumioko,-1,-1,2012,"12:39, 12 August 2012","'''Strong Oppose''' I was going to say ""neutral"" because the whole ragequit is horrific poor judgement, and extremely dramaesque.  Indeed, I'd say that's something you need to work hard to put behind you over a MINIMUM of a year, showing clearly that such crap is no longer occurring.  However, the whole issue around the Bot problems, especially your comments around that situation are the obverse of what we need.  You're clearly stating that you '''intentionally''' broke the rules because nobody would help you - indeed, you accuse the BAG-group as being anti-Wikiproject USA.  Unbelievable, really.  Barring some major change in this kind of behaviour, I see no chance of future RFA's being successful either - which is unfortunate, as there ''are'' many positive contributions <span style=""border:1px solid black;padding:1px;"">"
Gerda Arendt,KTC,1,1,2012,"16:51, 25 December 2012","'''Support''' per Keilana who worked with her, my voice for capable women, --"
Edinburgh Wanderer,Berean Hunter,1,1,2012,"00:00, 21 July 2012","'''Support''' I would prefer a wee bit more article creation, but strong edit count, civility and work at SPI make Berean an excellent candidate and a strong support."
Ironholds,SwisterTwister,1,-1,2012,"08:21, 26 June 2012",'''Frickin' A''''. If Blade hadn't nominated him I would've.
MONGO,Jenks24,1,1,2012,"17:34, 25 May 2012",'''Support'''...No evidence this candidate will abuse the tools or position.
Nolelover,Vibhijain,-1,-1,2012,"16:50, 19 May 2012","'''Oppose''', with '''moral support'''. In my experience with Vibhijain, he's generally clueful and good at what he does, but I really can't support based on age and judgement. User:QuiteUnusual says it far better than I can. No, posting your age is not ''prohibited'', but when you do you better be able to take any opposes based on that."
C678,Basalisk,1,1,2012,"00:07, 22 November 2012",'''Support''' Satisfies my criteria.  Becoming an editor is a learning experience.  Becoming an admin makes it a learning experience all over again.  One of the core issues I see in RfAs is the nitpicking opposes.  One doesn't really have admin experience until they've been an admin.  The deletionist attitude can be fixed once he begins to evaluate XfDs.  Incorrect closes he makes can be pointed out and fixed.  Other issues are fixed once you really have the ability to be bold.—
Bmusician,History2007,1,-1,2012,"03:35, 16 June 2012","→<font face=""Segoe Script"">"
Nouniquenames,LuK3,1,-1,2012,"18:15, 1 December 2012",'''Support''' - seems to meet my requirements. --
Petrb,Distributor108,-1,-1,2012,"13:57, 16 April 2012","Edit warring, blocked few times, work only on 1 specific topic of wikipedia, doesn't even seem to need the tools, RfA wasn't properly filled in and so on... Anyway thank you for volunteering, I hope that once you understand all the issues, you would become more suitable for this. So maybe later :-)"
Nyttend,KTC,1,1,2012,"14:36, 23 December 2012","'''Support''' per Pichpich; I wish the candidate did more in mainspace, but there's no reason to expect that she'll cause chaos."
Theopolisme,Writ Keeper,1,1,2012,"23:54, 19 October 2012","'''Yep!''' I've only seen good things from Writ -- as Thine says, ""seems like they won't [[WP:DDMP|cause chaos]]"". <sarcasm> And that's all that matters, isn't it? </sarcasm>  '''<font color=#232323>"
WereSpielChequers,Berean Hunter,1,1,2012,"21:00, 26 July 2012","'''Support''' effectively clean block log, very longterm trusted user. I'll trust others re your major locus of activity as it isn't an area that I'm active in. Deleted contributions look pretty good, but when this ends you might want to have a look at [[Skarken Syndrome|this one]] - you prodded it, but I'd have preferred to see you add a hoax tag, maybe even a G3. ''"
Elen of the Roads,Yunshui,1,1,2012,"10:04, 26 July 2012","Don't know this editor well, but his answers are good, and the nomination from Worm gives me great confidence."
Kablammo,Master&Expert,1,-1,2012,"15:30, 7 August 2012","'''Support'''  Has common sense and humility, and is unikely to share the extraordinary attitude that administrators are the ""face of Wikipedia""."
Reaper Eternal,History2007,1,-1,2012,"13:48, 16 June 2012","No real reason to oppose <s>as I'm assuming that the answer to Q14 is a brain fart&mdash;SPIs can conclude that no puppetry has occurred</s>. The disruptive sockpuppet accusation in the oppose has no substantiation right now, so I am ignoring it unless further evidence turns up."
SilkTork,Bgwhite,1,1,2012,"11:18, 21 November 2012","'''Support'''. [http://en.wikipedia.org/wiki/User_talk:Bgwhite/Archive_11#please_provide_diffs_or_retract This is a good sign] - we all make mistakes; what matters is how we deal with them. Some people cover up, some people ignore, and others correct the mistake. I have faith in people who correct <s>there</s> their mistakes. '''"
Electriccatfish2,Bbb23,1,1,2012,"10:26, 15 July 2012","'''Strong Support''' I've had the pleasure of dealing with this user at AN/I, and he is very helpful and acts like an Admin there."
Gilderien,Northamerica1000,-1,-1,2012,"17:18, 7 November 2012","'''Oppose''' per concerns raised by WTT and TParis.--<span style="""">"
Stephen,Scottywong,1,1,2012,"03:10, 26 March 2012",
Ajraddatz,Figureskatingfan,1,-1,2012,"00:32, 15 February 2012","'''Support''', sounds good."
The Blade of the Northern Lights,Zagalejo,1,1,2012,"22:49, 29 June 2012",'''Support''' because we need more admins familiar with the way the project works and willing to pull the trigger when it's necessary.
Go Phightins!,Gigs,1,-1,2012,"02:13, 18 October 2012","'''Support, from neutral''' Thanks to the clarification of question 17's answer, I now support this RFA. Solid user, solid contributions, and due to the elaboration on answer 17, he hits the nail on the head of ""no big deal""."
The Blade of the Northern Lights,Dennis Brown,1,1,2012,"20:41, 23 April 2012",'''Support''' level-headed user who will do a lot of good.
Skinwalker,My76Strat,-1,-1,2012,"18:47, 27 November 2012",'''Oppose''' per above.  The candidate's obnoxious communication style is not compatible with adminship.
Skater,Avicennasis,1,-1,2012,"06:44, 21 May 2012",'''Support'''-Why not?--'''''
Riley Huntley,Master&Expert,-1,-1,2012,"08:14, 1 August 2012","'''Oppose''' - 671 mainspace edits is not going to cut it for me and per all above Cheers,"
Bencherlite,TommyBoy,1,1,2012,"17:05, 13 November 2012",'''Support''' trustworthy and no more unlikely to cause problems using the tools than the rest of the admins are.
Spencer,Σ,1,-1,2012,"04:26, 2 October 2012",'''Support'''. Looks good to me. '''
Ajraddatz,Bbb23,1,1,2012,"17:49, 14 July 2012",Pile-on support for a competent candidate.
Malleus Fatuorum,Hghyux,-1,-1,2012,"19:16, 20 April 2012","'''Oppose''' as per recent interaction with this candidate, mentioned above."
TheSpecialUser,MONGO,-1,-1,2012,"03:25, 21 November 2012","'''Oppose''' - per Drmies. Too inflammable to give the admin rights. [http://en.wikipedia.org/w/index.php?title=User_talk:It_Is_Me_Here&diff=493949183&oldid=493898306 An editor who wants the credit of another editor's leaving Wikipedia] is certainly not a thing I want to see in an admin. I also don't see any need of tools; there is nothing that they have been doing or plan to do which would require extra tools. Sorry to say, but according to me, MONGO is nowhere near being a good candidate for adminship. '''''"
Keilana,De728631,1,1,2012,"16:32, 27 July 2012",'''Support''' - I was floored by his answer to Dennis's question. We need more new admins like that!
Peridon,Basalisk,1,1,2012,"17:30, 17 November 2012","'''Support''' and not because one of the nominators is responsible for me having a mop... I've seen the candidate in CSD and other places and can't remember having to correct their tagging. (But someone will now go rooting around and find something from when he'd just started.) Edit count? If someone stays out of trouble for 6000 edits, they should have an idea of what's what and where. I had 12,000 edits or more then, and I'm still finding new bits of Wikipedia. Frequency? It's not a full time job we're interviewing for. It's OK to have people popping in and out. Two part-timers can be better than one full timer. If one goes off sick, you've got the other still for some of the time. If both go off together, you're no worse off than with a sick full timer."
Frood,Master&Expert,1,-1,2012,"19:13, 4 August 2012","'''Support''' - I think that even being brave enough for an RfA with ""only"" 3,000 edits says a lot. Edit count doesn't really matter a whole lot, sometimes people want to have a life outside Wikipedia. Per Julian. The opposes all seem like weak reasons. The answer to Q8 looks correct to me, and believe it or not, some people like to have a life outside of Wikipedia. 3,000 changes is, in reality, a lot. Anybody who makes 3,000 changes to a ""normal"" encyclopedia would surely be able to do things that the administrators here can do. The fact that nowadays you have to have 10k+ edits to even be ''considered'' for adminship bothers me. Quantity < Quality."
Joe Decker,ItsZippy,1,1,2012,"18:45, 5 April 2012","'''Support''' based on review of AfD participation, AfD NAC closures, and answers to questions. --"
Ultraexactzz,Dennis Brown,0,1,2012,"20:41, 23 April 2012","'''Neutral''' as per [[Observer effect (physics)|the Observer effect]]. I do see a lot of good work from this candidate, and I place a great deal of faith in the wisdom of the co-nominators. But I also see that the user's involvement at ANI has spiked since early March. Now, ANI is quite busy, and it's likely that an editor working his way toward adminship would get involved in areas that involve admins - like ANI. ANI is also the candidate's most edited Wikipedia-space page, with routine edits dating back to early 2011. So involvement there isn't a recent thing, but it feels like all of a sudden I'm seeing a lot of comments from this editor at ANI - and, indeed, 170 of the candidate's last 250 Wikipedia-space edits are to ANI, all in the last 15 days. That's not good, that's not bad - but it gives me pause. I want to support, but I also want to take the time to look into the candidate a bit more. I cite the observer effect because of the impression that the candidate's behavior changed when his RFA was imminent and ongoing - in other words, when the world was watching. And that bothers me for reasons that I can't quite articulate. Dennis, don't take this as criticism - RFA does change everything. But, I dunno, I gotta call it as I see it."
Carrite,Harrias,1,1,2012,"20:45, 28 November 2012","'''Support''' - Clean block log, no indications of assholery, adequate tenure and edit count. Orientation towards content is an added plus, in my book."
Nathan Johnson,Σ,1,-1,2012,"03:30, 8 October 2012",Per NYB. -
Mlpearc,Kumioko,1,-1,2012,"02:50, 9 August 2012","In the last few days many editors have placed their trust with me even with my rocky boat. Per Dank and the hope Wizardman is wrong, this is my ""pat it forward"" and it seems we have similar interest [http://en.wikipedia.org/wiki/User:Mlpearc/Sandbox_5.0#MOH_pages_I.27ve_worked_on]. Good luck,"
The Earwig,Σ,1,-1,2012,"02:17, 2 October 2012","'''Support''' - yes, finally. Trustworthy, competent, efficient. —"
Rockfang,Mabdul,-1,-1,2012,"05:08, 27 March 2012",'''Oppose''' - I think that a prospective admin should know better than to stick a link to his/her rfa in an irc quit message.--
Thehelpfulone,Ktr101,1,-1,2012,"15:01, 22 December 2012","Keegan's nomination is more than enough for me to '''support''', per Someguy1221."
Morning Sunshine,Writ Keeper,1,1,2012,"09:25, 20 October 2012",'''Support''' Working here for over 1 year is totally fine for adminship. Good luck--
RP459,PerryThePlatypusFan,-1,-1,2012,"22:21, 10 August 2012",'''Oppose''' per [[WP:NOTNOW]]. ''<B>--
Wizardman,Jenks24,1,1,2012,"15:20, 26 May 2012","Me and him have butted heads in the past, and he's always been cordial and willing to talk things through; he's ended up looking better than I did at times. As a former arb I'm not used to that kind of demeanor; will make a great admin. [[User:Wizardman|<span style=""color:#030"">'''''Wizardman'''''</span>]] <sub>"
Kiefer.Wolfowitz,Writ Keeper,1,1,2012,"10:13, 22 October 2012","'''Support''' is joseki. <small><span style=""border:1px solid black;padding:1px;"">"
Secret,Figureskatingfan,0,-1,2012,"06:01, 14 February 2012","Also awaiting answers per Begoon. I agree we all, including myself, are guilty of rollbacking non-vandalism potentially good-faith edits, but those usually involve badly unsourced BLP issues, NPOV, misinformation, very terrible and confusing writing and so forth, literally edits that hurt the encyclopedia more than it helps. But Wifione second and third links are a bit worrisome, reverting copyediting changes as vandalism, including one which left a warning on the user talk page? That seems completely strange to me. We need more article writers as administrators, and I highly trust the nominators. But rollbacking these two edits (the last rollback was the addition of a non-notable award that was deleted in AFD and the editor was warned against it, not-vandalism but not blatant  use of rollback, a edit summary would have clearly been helpful though) is a red flag, and a source of potencial drama in the future, like what happened to YellowMonkey a bit over a year ago, and more recently [[User:Icairns|Icairns]]. Will probably move to support with a valid explanation and a reassurance that it won't happen again. Thanks"
Monty845,Harrias,1,1,2012,"15:53, 27 November 2012","'''Support''' While I generally think candidates should have more experience with areas where admins are active, the candidate has identified a specific admin area of interest, in that area there is the need for more admins, and the candidate is very well qualified for work there. Good enough for me."
It Is Me Here,QuiteUnusual,-1,-1,2012,"13:32, 19 October 2012","'''Oppose''' – you want to work at [[:WP:UAA|UAA]] but your answer to 13a especially leaves me thinking that you would not do a good job of it. I disagree that it would minimise the risk of disruption to contact [[:WP:RFO]] ''without blocking''. Notice that, if their username really is that offensive, you can block them, thus preveting them from going on to vandalize any number of articles, and then per [[:WP:RD2|RD2]] immediately RevDel their username out of the block log entry, pending OS. Now, if I am right in believing (a) that someone's creating such an account name is itself evidence that they will go on to try to cause disruption, and (b) that more people read the sorts of high-profile articles likely to be targeted by trolls than the number who read the block log, then letting this person edit just because someone might glimpse something offensive on [[:Special:Log]] is a bizarre strategy. '''"
TBrandley,Darkness Shines,-1,-1,2012,"21:27, 30 December 2012","'''Oppose''' I am sorry, but I must oppose this nomination. It appears to be premature at this point and ""expecting to fail"" is not really the best attitude to have; as well as the ""silly queries"" above; this is a big concern. In addition, you have only made about 3,000 contributions to the article namespace, which I do not feel is enough yet. However, I would strongly advise to obtain some more edits to Wikipedia and then nominate yourself again perhaps. On the plus side, your recent contributions are generally good. Happy new year, <font face=""Impact"">"
Whenaxis,ItsZippy,-1,1,2012,"22:56, 5 April 2012","'''Oppose:''' Per above. I agree that this candidate has made good quality edits, however, if he can't listen to simple advice like Malleus Fatuorum gave, how will we expect him to be able to perform edits with powerful sysop tools where editors may ask him to change what he did? To me, it seems this candidate is rushing to get sysop tools and it seems he only wants the power associated with it. As a young editor, there is reasonable doubt what happens when you provide power to youngsters. I originally supported this candidate because of outstanding work, unfortunately, valid concerns have been brought up by Malleus Fatuorum and Josh Parris. Regardless of what happens at this candidacy, I wish the best of luck to you, ItsZippy and keep up the good work."
Strike Eagle,SwisterTwister,1,-1,2012,"08:08, 1 July 2012","'''Support''' - '''<span style=""text-shadow:1px 1px 2px #6698FF;"">"
Ymblanter,Bbb23,1,1,2012,"08:39, 14 July 2012",I do not see any problems with the candidate.--
The Blade of the Northern Lights,Figureskatingfan,1,-1,2012,"00:40, 15 February 2012","'''Support''' a few mistaken vandalism reversions does not an unfit candidate make.  Especially on those kinds of articles, where there are real issues with OR and vandalism."
PCHS-NJROTC,Harrias,1,1,2012,"04:12, 4 December 2012","'''Support''' Been here since 2005 (which is longer than I), squeaky clean block log, and an overwhelming support from other contributors (only one oppose and one neutral), call me easy if you wish, but this user seems qualified to me."
GabeMc,Avicennasis,-1,-1,2012,"01:22, 24 May 2012","'''Oppose''' - Per Malleus Fatuorum, SilkTork and Bielle's comments, lack of content creation/dispute resolution, signed off on incorrect activity date. Try again after bring an article to FA."
Number 57,GiantSnowman,1,1,2012,"11:46, 31 January 2012",'''Support''' Great editor and should make an excellent admin.
